f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1282_inv.jpg,Ruff 096_382 2021-06-10 Snap-1282_inv.jpg,096,Ruff 096_382 2021-06-10 Snap-1282_inv.jpg,382,001
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 028_1659 2021-05-20 Snap-0819_inv.jpg,Ruff 028_1659 2021-05-20 Snap-0819_inv.jpg,028,Ruff 028_1659 2021-05-20 Snap-0819_inv.jpg,1659,002
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 028_1659 2021-05-20 Snap-0821_inv.jpg,Ruff 028_1659 2021-05-20 Snap-0821_inv.jpg,028,Ruff 028_1659 2021-05-20 Snap-0821_inv.jpg,1659,003
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 191_1351 2021-10-19 Snap-2580_inv.jpg,Ruff 191_1351 2021-10-19 Snap-2580_inv.jpg,191,Ruff 191_1351 2021-10-19 Snap-2580_inv.jpg,1351,004
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,051,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,1310,005
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,151,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,G200063,006
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,1395,007
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3102_inv.jpg,1378,008
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,186,Ruff 186_1378 2021-10-28 Snap-3121_inv.jpg,1378,009
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,158,Ruff 158_1377 2021-07-21 Snap-1680_inv.jpg,1377,010
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,096,Ruff 096_382 2021-06-10 Snap-1286_inv.jpg,382,011
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,123,Ruff 123_1326 2021-06-17 Snap-1382_inv.jpg,1326,012
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3097_inv.jpg,1395,013
