bird_ID,Mother,Father
301,,
382,,
321,,
280,,
319,,
331,,
315,,
1633,,
268,,
264,,
312,,
1640,,
364,,
329,,
388,,
374,,
322,,
281,,
333,,
1638,,
313,,
1639,,
302,,
370,,
1647,,
1645,,
1674,,
290,,
1680,,
278,,
1657,,
259,,
305,,
392,,
954,,
372,,
1671,,
1651,,
,,
5474,,
397,,
288,,
182,,
253,,
243,,
279,,
222,,
308,,
3520,,
249,,
1620,,
G14223,,
AO27121649,,
AO3999183,,
AO7422181NL,,
AIFAO16507,,
CZ005,,
704105,,
637,,
806,,
865,,
649,,
864,,
933,,
804,,
945,,
835,,
946,,
862,,
655,,
932,,
960,,
650,,
669,,
939,,
927,,
934,,
907,,
897,,
674,,
880,,
641,,
633,,
890,,
823,,
959,,
969,,
916,,
1010,,
990,,
886,,
888,,
987,,
984,,
994,,
973,,
967,,
698,,
1001,,
965,,
1000,,
999,,
815,,
670,,
868,,
947,,
971,,
630,,
908,,
659,,
627,,
972,,
966,,
930,,
928,,
828,,
985,,
870,,
643,,
679,,
599,,
810,,
554,,
596,,
561,,
503,,
580,,
585,,
634,,
692,,
690,,
623,,
625,,
586,,
592,,
689,,
1062,,
917,,
AO 3999-18-8-NL 5,,
AO 8219-18-7-NL 5,,
AO 7956-17-27-NL 5,,
AO 7956-17-25-NL 5,,
1681,,
AIFAO15-11,,
AO414-17-3-NL,,
AO414-17-5,,
AO59381830,,
AO7956-17-18,,
AO79561654,,
AO79561656,,
G17267,,
1005,637,301
1006,806,382
1007,865,321
1008,649,280
1009,864,319
1011,857,382
1013,821,382
1015,933,331
1016,804,382
1017,804,382
1018,945,315
1019,835,1633
1020,821,1633
1021,944,268
1022,946,268
1023,862,264
1024,821,1633
1025,655,312
1026,835,1633
1027,932,331
1028,960,301
1029,804,1640
1030,804,1640
1031,804,1640
1032,637,364
1033,650,364
1034,669,312
1035,945,329
1036,650,388
1037,939,329
1038,927,374
1039,934,329
1040,907,268
1041,657,364
1042,897,364
1043,674,322
1045,880,374
1046,641,281
1047,633,322
