*CREATOR
msr_cutter.exe,[V6.02.06]
msr2csv.exe,[V6.02.06]

*STARTTIME
2023-09-19,15:09:11,

*MODUL
NAME,MSR323207,MSR323207
*NAME
NAME, , 

ID,[C26113 V5.108],[C26113 V5.108]

*CHANNEL
TIME,T,T2

*UNIT
,°C,°C

*LIMITS
ALARM,,
RECRD,,
LIMIT1,,
LIMIT2,,

*DATA
2023-09-19 15:09:11.111,25.1,24
2023-09-19 15:09:16.111,25.1,24
2023-09-19 15:09:21.111,25.1,23.875
2023-09-19 15:09:26.111,25.1,23.875
2023-09-19 15:09:31.111,25.1,23.875
2023-09-19 15:09:36.111,25.0,23.875
2023-09-19 15:09:41.111,25.0,23.875
2023-09-19 15:09:46.111,25.0,23.875
2023-09-19 15:09:51.111,25.1,25.375
2023-09-19 15:09:56.111,25.1,31.125
2023-09-19 15:10:01.111,25.1,33.75
2023-09-19 15:10:06.111,25.0,35.25
2023-09-19 15:10:11.111,25.0,36.6875
2023-09-19 15:10:16.111,25.0,37.625
2023-09-19 15:10:21.111,25.0,38.125
2023-09-19 15:10:26.111,25.0,38.625
2023-09-19 15:10:31.111,25.0,38.875
2023-09-19 15:10:36.111,25.0,39.125
2023-09-19 15:10:41.111,25.0,39.375
2023-09-19 15:10:46.111,25.0,39.5
2023-09-19 15:10:51.111,25.0,39.625
2023-09-19 15:10:56.111,25.0,39.75
2023-09-19 15:11:01.111,25.0,39.875
2023-09-19 15:11:06.111,25.0,40
2023-09-19 15:11:11.111,25.0,40.0625
2023-09-19 15:11:16.111,25.0,40.125
2023-09-19 15:11:21.111,25.0,40.1875
2023-09-19 15:11:26.111,25.0,40.25
2023-09-19 15:11:31.111,25.0,40.25
2023-09-19 15:11:36.111,25.0,40.375
2023-09-19 15:11:41.111,25.0,40.375
2023-09-19 15:11:46.111,25.0,40.375
2023-09-19 15:11:51.111,25.0,40.4375
2023-09-19 15:11:56.111,25.0,40.5
2023-09-19 15:12:01.111,25.0,40.5
2023-09-19 15:12:06.111,25.0,40.5
2023-09-19 15:12:11.111,24.9,40.5
2023-09-19 15:12:16.111,24.9,40.5
2023-09-19 15:12:21.111,24.9,40.5
2023-09-19 15:12:26.111,24.9,40.5625
2023-09-19 15:12:31.111,24.9,40.5625
2023-09-19 15:12:36.111,24.9,40.5625
2023-09-19 15:12:41.111,24.9,40.5625
2023-09-19 15:12:46.111,24.9,40.5625
2023-09-19 15:12:51.111,24.9,40.5625
2023-09-19 15:12:56.111,24.9,40.5625
2023-09-19 15:13:01.111,24.9,40.5625
2023-09-19 15:13:06.111,24.9,40.625
2023-09-19 15:13:11.111,24.9,39
2023-09-19 15:13:16.111,24.9,35.5
