ind	Father	Mother
1005	288	637
1006	382	806
1007	321	865
1008	280	649
1009	319	864
1011	382	857
1013	382	821
1015	331	933
1016	382	804
1017	382	804
1018	315	945
1019	1633	835
1020	1633	821
1021	268	944
1022	268	946
1023	264	862
1024	1633	821
1025	312	655
1026	1633	835
1027	331	932
1028	301	960
1029	1640	804
1030	1640	804
1031	1640	804
1032	364	637
1033	364	650
1034	312	669
1035	329	945
1036	388	650
1037	329	939
1038	374	927
1039	329	934
1040	268	907
1041	364	657
1042	364	897
1043	322	674
1045	374	880
1046	281	641
1047	322	633
1048	333	927
1049	281	641
1050	1638	880
1052	1639	927
1054	264	1029
1055	331	823
1056	302	959
1057	374	1038
1058	331	969
1059	1639	927
1060	1639	939
1061	370	916
1064	1647	945
1066	281	1007
1067	370	1010
1069	1649	835
1070	1647	945
1071	1649	835
1072	1649	1016
1074	1015	886
1076	1633	1030
1077	1015	1016
1078	1301	1034
1079	329	888
1080	1659	1086
1081	1324	1010
1082	1645	1023
1083	1305	1058
1084	382	1072
1085	1654	987
1087	331	984
1088	1674	994
1089	1301	1049
1090	1639	1007
1091	1639	1007
1092	290	1019
1093	1647	804
1094	1680	932
1095	952	1016
1097	1680	932
1098	1649	1019
1099	1316	973
1102	1654	700
1103	1674	1023
1105	952	916
1106	1674	1027
1107	1633	932
1108	1339	1082
1109	952	857
1110	1300	698
1111	952	967
1112	952	963
1113	952	1001
1114	952	965
1115	1301	1016
1116	1300	1016
1117	1698	1000
1118	1698	1001
1119	1301	1016
1120	952	965
1121	1301	1019
1124	1698	907
1125	1301	1016
1300	312	655
1301	312	637
1302	322	999
1303	382	815
1304	268	944
1305	333	999
1306	374	670
1307	319	916
1308	264	862
1309	268	946
1310	333	820
1312	313	868
1313	312	804
1314	1640	1086
1315	388	650
1317	333	862
1318	264	965
1320	264	965
1321	331	1001
1322	329	934
1323	268	700
1325	259	971
1326	374	880
1327	374	880
1328	322	633
1329	364	630
1330	305	1001
1331	302	908
1332	302	959
1336	281	1007
1337	1647	945
1338	370	1038
1339	370	1010
1340	954	1036
1341	954	945
1342	281	627
1343	1669	806
1344	1669	963
1345	1310	972
1347	1015	1019
1348	1015	1059
1349	382	1036
1350	1305	1007
1351	372	659
1352	1300	1054
1353	1654	966
1354	1301	1056
1355	1301	1049
1356	1301	1056
1357	1674	930
1358	1301	1056
1359	1326	1054
1360	1639	1007
1361	329	1033
1362	1680	1029
1363	1654	1072
1364	1680	1038
1365	331	1049
1366	1671	932
1367	1654	698
1368	1680	932
1369	1680	932
1370	302	908
1371	1320	1036
1372	302	966
1373	1654	835
1375	1633	944
1376	302	987
1377	1674	1023
1378	382	928
1379	1674	1023
1380	1301	888
1381	1326	888
1382	1300	1019
1384	1345	828
1385	1698	1001
1386	952	985
1387	1339	969
1388	1651	930
1389	1300	698
1390	1300	870
1391	302	804
1392	1698	1000
1393	1300	870
1394	1301	1045
1395	952	966
1396	1698	908
1397	1301	1049
1398	952	985
1399	954	967
1694	280	639
1695	382	806
1696	382	599
1698	288	810
1699	382	599
1700	382	857
1051	313	890
1104	952	916
1126	302	1030
1311	333	820
1324	264	965
1333	382	806
1334	392	655
1335	1669	659
1346	331	1029
1383	1339	969
