response,effect,es_ci.length,es_ci.CV
Acrosome,Intercept (independent), 0.01 (-0.24 -0.27),-0.10 (-0.36 -0.16)
Acrosome,Satellite relative to independent,-0.07 (-0.55 -0.40), 0.26 (-0.22 -0.74)
Acrosome,Faeder relative to independent, 0.06 (-0.70 -0.80), 0.33 (-0.38 -1.08)
Nucleus,Intercept (independent), 0.12 (-0.13 -0.38), 0.09 (-0.16 -0.35)
Nucleus,Satellite relative to independent,-0.46 (-0.92 -0.01),-0.29 (-0.76 -0.18)
Nucleus,Faeder relative to independent,-0.01 (-0.74 -0.75),-0.13 (-0.89 -0.61)
Midpiece,Intercept (independent),-0.21 (-0.46 -0.03),-0.06 (-0.31 -0.21)
Midpiece,Satellite relative to independent, 0.41 (-0.03 -0.86), 0.26 (-0.21 -0.73)
Midpiece,Faeder relative to independent, 1.19 ( 0.46 -1.88),-0.22 (-0.97 -0.55)
Tail,Intercept (independent),-0.20 (-0.45 -0.04), 0.01 (-0.25 -0.27)
Tail,Satellite relative to independent, 0.66 ( 0.20 -1.13),-0.14 (-0.61 -0.33)
Tail,Faeder relative to independent, 0.22 (-0.50 -0.96), 0.32 (-0.43 -1.06)
Total,Intercept (independent),-0.18 (-0.43 -0.07), 0.04 (-0.22 -0.29)
Total,Satellite relative to independent, 0.49 ( 0.03 -0.96),-0.26 (-0.74 -0.21)
Total,Faeder relative to independent, 0.54 (-0.22 -1.27), 0.35 (-0.40 -1.11)
Head,Intercept (independent), 0.12 (-0.13 -0.36), 0.01 (-0.26 -0.27)
Head,Satellite relative to independent,-0.44 (-0.90 -0.02),-0.04 (-0.52 -0.44)
Head,Faeder relative to independent, 0.02 (-0.72 -0.78), 0.04 (-0.73 -0.80)
Flagellum,Intercept (independent),-0.24 (-0.49 -0.01), 0.00 (-0.27 -0.26)
Flagellum,Satellite relative to independent, 0.70 ( 0.27 -1.15),-0.12 (-0.60 -0.35)
Flagellum,Faeder relative to independent, 0.57 (-0.15 -1.29), 0.40 (-0.35 -1.14)
Midpiece_rel,Intercept (independent),-0.12 (-0.38 -0.14),
Midpiece_rel,Satellite relative to independent, 0.14 (-0.32 -0.59),
Midpiece_rel,Faeder relative to independent, 0.97 ( 0.25 -1.71),
Flagellum_rel,Intercept (independent),-0.24 (-0.48 -0.01),
Flagellum_rel,Satellite relative to independent, 0.77 ( 0.32 -1.22),
Flagellum_rel,Faeder relative to independent, 0.31 (-0.43 -1.02),
