type,data,response,est,CI,bf,prob,Rhat_no,Rhat_yes
motility,all,Curvilinear,1.7%,0-15%,23,0.963,1,1
motility,all,Average path,2.3%,0-17%,18,0.95,1,1
motility,all,Straight line,2%,0-16%,14,0.935,1,1
morphology,all,Acrosome,0.1%,0-0.8%,95,0.988,1,1
morphology,all,Nucleus,0.1%,0-0.7%,98,0.99,1,1
morphology,all,Midpiece,0%,0-0.6%,135,0.992,1,1
morphology,all,Tail,0.1%,0-0.6%,114,0.992,1,1
morphology,all,Total,0.1%,0-0.6%,150,0.993,1,1
morphology,all,Head,0.1%,0-0.7%,86,0.989,1,1
morphology,all,Flagellum,0.1%,0-0.6%,141,0.992,1,1
motility,June,Curvilinear,9.6%,0-45%,7,0.868,1,1
motility,June,Average path,7.4%,0-40%,9,0.892,1,1
motility,June,Straight line,4.8%,0-35%,10,0.904,1,1
morphology,means,Acrosome,0.1%,0-0.8%,Inf,1,1,1
morphology,means,Nucleus,0.1%,0-0.7%,Inf,1,1,1
morphology,means,Midpiece,0%,0-0.6%,Inf,1,1,1
morphology,means,Tail,0.1%,0-0.6%,Inf,1,1,1
morphology,means,Total,0.1%,0-0.6%,Inf,1,1,1
morphology,means,Head,0.1%,0-0.7%,Inf,1,1,1
morphology,means,Flagellum,0.1%,0-0.6%,Inf,1,1,1
morphology,CV,Acrosome,33.3%,0.4-76%,1,0.592,1,1
morphology,CV,Nucleus,17.1%,0.1-59%,3,0.763,1,1
morphology,CV,Midpiece,6.6%,0-42%,6,0.872,1,1
morphology,CV,Tail,76.7%,21-94%,0,0.097,1,1
morphology,CV,Total,47.1%,0.6-86%,1,0.548,1,1
morphology,CV,Head,20.6%,0.1-61%,2,0.717,1,1
morphology,CV,Flagellum,69.1%,3-95%,0,0.276,1,1
